"G36144" "G36291" "G64946" "G65809" "G66142" "G66147" "G66652" "G68204" "G68397" "G68498" "G72911" "G73845"
"OTU2322" 0 0 0 0 0 0 0 0 4 0 0 0
"OTU2328" 4 0 0 0 0 0 0 0 0 0 0 0
"OTU233" 41 0 0 0 0 0 0 0 0 1 0 125
"OTU2333" 0 0 0 0 0 0 0 0 0 14 0 0
"OTU2338" 0 2 2 0 0 6 0 0 2 0 0 0
"OTU235" 0 0 0 0 0 0 0 0 0 74 0 0
"OTU236" 0 0 0 0 0 0 3 0 0 0 0 0
"OTU2361" 0 0 29 0 0 0 0 0 0 0 0 0
"OTU2362" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU237" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU2370" 0 0 0 0 0 176 0 0 0 0 47 0
"OTU238" 0 0 0 0 0 0 0 0 2 0 0 0
"OTU239" 0 0 0 0 0 0 1 0 0 0 0 0
"OTU2393" 0 0 0 0 0 4 0 0 0 0 0 0
"OTU2397" 0 0 0 0 0 4 0 0 0 0 0 0
"OTU24" 0 49 0 0 3068 0 0 0 0 0 0 0
"OTU2403" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU241" 5 0 2 0 3 3 5 36 0 0 0 0
"OTU242" 0 0 0 0 0 0 0 0 0 10 0 0
"OTU2424" 0 0 0 3 0 0 0 0 0 0 0 0
"OTU243" 0 0 0 0 0 0 0 0 0 8 0 0
"OTU244" 0 0 0 0 2 122 0 0 0 0 0 0
"OTU245" 0 2 3 0 17 6 7 0 1 0 0 0
"OTU2452" 0 0 0 0 1 0 0 33 1 0 0 0
"OTU2463" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU2465" 0 0 1 0 0 3 0 0 0 0 0 0
"OTU2468" 0 1 0 0 4 16 0 0 1 0 0 0
"OTU2470" 0 0 0 0 0 0 0 2 0 0 0 0
"OTU2476" 0 0 0 0 0 0 0 0 14 0 0 0
"OTU2478" 0 0 1 0 0 1 1 40 0 2 0 0
"OTU2479" 0 0 0 0 0 4 0 5 1 1 0 0
"OTU2487" 4 0 0 0 0 3 0 0 0 0 0 0
"OTU2488" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU249" 0 0 0 0 0 0 0 0 0 0 113 0
"OTU2490" 0 0 0 0 0 0 0 0 0 0 3 0
"OTU25" 254 0 0 0 0 0 0 59 0 0 0 263
"OTU2505" 0 8 0 0 3 0 0 0 0 0 0 0
"OTU2512" 0 0 3 0 0 0 0 0 0 2 0 0
"OTU2513" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU2514" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU2523" 2 0 7 0 0 0 0 0 0 0 0 0
"OTU2527" 0 16 3 0 14 22 0 0 4 0 0 2
"OTU253" 2 0 0 0 0 0 14 0 0 0 0 0
"OTU2532" 0 1 0 0 2 0 0 0 0 0 0 0
"OTU2536" 0 0 0 0 0 0 0 0 1 1 0 0
"OTU254" 0 0 0 0 465 0 0 0 0 0 0 0
"OTU2542" 16 0 0 0 0 0 0 0 0 0 0 0
"OTU2548" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU255" 0 12 16 0 9 0 0 0 0 11 0 0
"OTU2559" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU2564" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU2565" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU2568" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU257" 0 0 0 0 16 0 0 0 0 0 0 0
"OTU2572" 0 1 0 0 2 65 0 0 1 0 0 0
"OTU2573" 0 0 0 0 4 2 1 0 0 0 0 0
"OTU258" 0 5 0 0 0 0 0 0 0 4 0 0
"OTU2580" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU259" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU26" 215 79 421 1 80 658 5 198 21 92 4 174
"OTU260" 0 0 0 0 0 0 0 0 12 0 0 0
"OTU2602" 0 0 0 0 0 3 0 0 0 0 0 0
"OTU2603" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU2616" 0 0 0 0 0 0 0 0 0 0 0 2
"OTU262" 0 0 0 0 1 0 0 0 0 21 0 0
"OTU2620" 4 7 0 0 47 5 0 0 5 0 2 0
"OTU2624" 0 0 0 0 0 0 0 0 0 12 0 0
"OTU2628" 0 0 0 0 1 0 0 0 0 0 0 0
"OTU2640" 0 0 0 0 0 0 0 0 0 0 0 1
"OTU2656" 1 0 0 0 2 0 0 0 0 0 0 0
"OTU2657" 0 0 0 0 0 0 0 0 0 7 0 0
"OTU2658" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU266" 0 0 0 0 0 0 6 0 0 0 0 0
"OTU2660" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU2662" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU267" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU2673" 0 0 0 1 0 0 0 0 0 0 0 0
"OTU268" 9 0 0 0 0 0 0 0 0 0 0 6
"OTU2683" 0 0 0 0 30 4 0 0 0 0 0 0
"OTU2687" 0 0 0 0 1 0 0 0 0 0 0 0
"OTU2688" 0 0 0 0 3 0 0 0 0 0 0 3
"OTU2695" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU27" 0 273 980 2 462 2284 0 0 636 17 58 0
"OTU270" 2 0 0 7 19 12 0 2 31 8 0 280
"OTU2708" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU2711" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU2713" 0 0 9 0 0 0 0 0 0 0 0 0
"OTU2717" 0 0 0 0 0 19 0 8 0 12 0 0
"OTU2724" 0 0 1 0 0 0 0 0 0 0 0 5
"OTU2726" 0 0 4 0 0 0 0 0 0 1 0 0
"OTU2731" 0 3 0 0 0 0 0 0 0 39 0 0
"OTU2735" 0 0 0 0 0 0 0 0 0 6 0 0
"OTU2741" 0 0 5 0 0 0 0 0 0 27 0 0
"OTU2745" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU2750" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU2753" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU2760" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU2775" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU2782" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU2786" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU2797" 0 0 0 0 0 0 0 0 0 53 0 0
"OTU28" 0 2 233 0 0 3 0 0 0 0 0 0
"OTU2800" 0 3 2 0 0 4 0 0 3 13 0 0
"OTU2802" 0 0 0 0 0 2 0 0 0 0 1 0
"OTU2807" 0 0 0 0 0 3 0 0 0 3 0 0
"OTU2810" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU2819" 0 0 0 0 0 6 0 0 0 0 0 0
"OTU2828" 0 0 0 0 0 10 0 0 0 0 0 0
"OTU283" 0 30 1 0 0 0 0 0 0 7 0 0
"OTU2838" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU2848" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU2853" 0 0 0 1 0 0 0 0 0 0 0 0
"OTU2855" 0 0 0 0 4 0 0 0 0 0 0 0
"OTU2863" 0 2 0 0 0 0 0 0 1 0 0 0
"OTU2868" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU287" 0 0 0 0 0 0 0 0 168 0 0 0
"OTU2878" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU288" 0 3 0 0 0 1 0 0 0 0 0 0
"OTU2881" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU2887" 0 0 0 0 0 5 0 0 0 0 0 0
"OTU2889" 0 4 1 0 0 40 0 28 13 7 0 0
"OTU289" 0 0 0 0 0 0 0 0 0 10 0 0
"OTU2891" 0 26 0 0 0 0 0 0 0 3 0 0
